x_z1,x_z2,t_z
10.75,-5.25,0.0
11.25,-3.25,0.0
10.75,-3.25,0.0
10.75,-5.75,0.0
9.75,-1.25,0.0
11.25,-6.25,0.0
12.75,-5.75,1.0
6.75,-0.75,1.0
14.75,-10.25,1.0
12.75,-6.25,1.0
12.75,-7.25,1.0
11.25,-2.75,1.0
23.25,-13.75,2.0
13.25,-8.25,2.0
23.75,-14.25,2.0
16.25,-11.25,2.0
15.75,-9.75,2.0
9.75,-4.75,2.0
20.75,-15.25,3.0
11.25,-3.25,3.0
18.75,-12.25,3.0
7.25,-0.75,3.0
8.75,-3.25,3.0
14.75,-6.75,3.0
20.75,-13.25,4.0
26.25,-14.25,4.0
20.75,-14.25,4.0
13.75,-7.75,4.0
10.25,-4.75,4.0
6.25,-2.25,4.0
17.25,-11.25,5.0
5.75,-2.25,5.0
14.25,-9.75,5.0
16.75,-11.25,5.0
11.75,-4.75,5.0
8.25,-2.75,5.0
9.75,-4.75,6.0
18.25,-10.75,6.0
10.75,-4.75,6.0
14.25,-6.75,6.0
6.25,-0.75,6.0
23.25,-16.25,6.0
13.25,-6.75,7.0
18.25,-12.25,7.0
21.25,-14.25,7.0
5.75,-0.75,7.0
11.25,-6.75,7.0
26.25,-14.75,7.0
9.75,-3.25,8.0
13.25,-8.75,8.0
13.25,-5.75,8.0
7.25,-1.25,8.0
11.25,-5.75,8.0
9.75,-3.25,8.0
14.75,-7.75,9.0
12.75,-4.25,9.0
20.75,-12.75,9.0
9.75,-2.75,9.0
20.25,-15.75,9.0
16.75,-9.25,9.0
15.25,-9.75,10.0
26.25,-14.75,10.0
26.25,-15.75,10.0
21.25,-13.75,10.0
7.25,-3.25,10.0
17.25,-12.75,10.0
9.25,-4.25,11.0
10.75,-2.75,11.0
10.75,-5.25,11.0
13.25,-5.75,11.0
8.75,-3.25,11.0
10.25,-5.25,11.0
16.75,-10.75,12.0
12.25,-6.75,12.0
19.75,-13.25,12.0
9.25,-4.25,12.0
10.25,-6.25,12.0
12.75,-7.75,12.0
9.75,-2.25,13.0
11.75,-6.75,13.0
15.25,-9.75,13.0
15.75,-9.75,13.0
18.25,-10.75,13.0
8.75,0.25,13.0
16.75,-10.75,14.0
13.75,-6.25,14.0
8.75,-2.75,14.0
11.75,-4.25,14.0
17.75,-10.75,14.0
13.25,-7.25,14.0
15.75,-8.75,15.0
12.25,-5.25,15.0
